"filename", "language", "JavaScript", "JavaScript React", "TypeScript React", "CSS", "TypeScript", "comment", "blank", "total"
"/Users/apple/Desktop/prog/projects/coinchecker/src/App.js", "JavaScript", 66, 0, 0, 0, 0, 1, 9, 76
"/Users/apple/Desktop/prog/projects/coinchecker/src/api/AuthService.js", "JavaScript", 22, 0, 0, 0, 0, 0, 3, 25
"/Users/apple/Desktop/prog/projects/coinchecker/src/api/BoardService.js", "JavaScript", 45, 0, 0, 0, 0, 0, 6, 51
"/Users/apple/Desktop/prog/projects/coinchecker/src/api/WalletService.js", "JavaScript", 29, 0, 0, 0, 0, 0, 5, 34
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/Aside/Aside.jsx", "JavaScript React", 0, 47, 0, 0, 0, 1, 5, 53
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/Aside/Aside.module.css", "CSS", 0, 0, 0, 185, 0, 3, 25, 213
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/Breadcrumbs/Br.module.css", "CSS", 0, 0, 0, 43, 0, 2, 12, 57
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/Breadcrumbs/Breadcrumbs.jsx", "JavaScript React", 0, 21, 0, 0, 0, 0, 3, 24
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/CoinTitle/Cointitle.jsx", "JavaScript React", 0, 33, 0, 0, 0, 0, 5, 38
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/CoinTitle/Ct.module.css", "CSS", 0, 0, 0, 46, 0, 0, 11, 57
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/EmbeddedLoader/EmbeddedLoader.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 2, 14
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/EmbeddedLoader/EmbeddedLoader.module.css", "CSS", 0, 0, 0, 52, 0, 0, 4, 56
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/ErrorScreen/Error.module.css", "CSS", 0, 0, 0, 3, 0, 0, 0, 3
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/ErrorScreen/ErrorScreen.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 2, 14
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/Header/Header.jsx", "JavaScript React", 0, 100, 0, 0, 0, 0, 12, 112
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/Header/Header.module.css", "CSS", 0, 0, 0, 373, 0, 7, 81, 461
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/Loader/Loader.css", "CSS", 0, 0, 0, 56, 0, 0, 5, 61
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/Loader/Loader.jsx", "JavaScript React", 0, 12, 0, 0, 0, 0, 2, 14
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/SearchCoin/Search.module.css", "CSS", 0, 0, 0, 48, 0, 4, 15, 67
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/SearchCoin/SearchCoin.jsx", "JavaScript React", 0, 56, 0, 0, 0, 0, 7, 63
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/popups/AddNewCoinPopup/Add.module.css", "CSS", 0, 0, 0, 130, 0, 1, 23, 154
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/popups/AddNewCoinPopup/AddNewCoinPopup.jsx", "JavaScript React", 0, 46, 0, 0, 0, 0, 11, 57
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/popups/AddNewWalletPopup/Add.module.css", "CSS", 0, 0, 0, 104, 0, 0, 16, 120
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/popups/AddNewWalletPopup/AddNewWalletPopup.jsx", "JavaScript React", 0, 41, 0, 0, 0, 0, 7, 48
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/popups/TransactionPopup/Trans.module.css", "CSS", 0, 0, 0, 260, 0, 0, 44, 304
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/popups/TransactionPopup/TransactionPopup.jsx", "JavaScript React", 0, 132, 0, 0, 0, 0, 17, 149
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/popups/TransactionPopup/decorator.js", "JavaScript", 23, 0, 0, 0, 0, 0, 2, 25
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/popups/TransactionPopup/init.js", "JavaScript", 5, 0, 0, 0, 0, 0, 1, 6
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/popups/TransactionPopup/operations/BuyTransaction.jsx", "JavaScript React", 0, 45, 0, 0, 0, 1, 4, 50
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/popups/TransactionPopup/operations/SellTransaction.jsx", "JavaScript React", 0, 45, 0, 0, 0, 1, 4, 50
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/popups/TransactionPopup/operations/TransTransaction.jsx", "JavaScript React", 0, 40, 0, 0, 0, 0, 5, 45
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/UI/popups/TransactionPopup/operations/index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/DashContainer.jsx", "JavaScript React", 0, 29, 0, 0, 0, 0, 7, 36
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/Dashboard.jsx", "JavaScript React", 0, 55, 0, 0, 0, 0, 10, 65
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/Dashboard.module.css", "CSS", 0, 0, 0, 325, 0, 7, 63, 395
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/blocks/ShowCoinsBlock/ShowCoinsBlock.jsx", "JavaScript React", 0, 136, 0, 0, 0, 0, 23, 159
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/blocks/ShowCoinsBlock/ShowCoinsBlock.module.css", "CSS", 0, 0, 0, 491, 0, 11, 102, 604
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/modules/LastNotifications.jsx", "JavaScript React", 0, 18, 0, 0, 0, 0, 3, 21
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/modules/ProfSettings.jsx", "JavaScript React", 0, 50, 0, 0, 0, 0, 6, 56
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/modules/SearchResultsDropDown.jsx", "JavaScript React", 0, 44, 0, 0, 0, 0, 9, 53
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/modules/index.js", "JavaScript", 3, 0, 0, 0, 0, 0, 0, 3
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Buysell/Buysell.jsx", "JavaScript React", 0, 13, 0, 0, 0, 0, 4, 17
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Buysell/Buysell.module.css", "CSS", 0, 0, 0, 24, 0, 0, 2, 26
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/AreaChart/AreaChart.jsx", "JavaScript React", 0, 69, 0, 0, 0, 1, 4, 74
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/AreaChart/constants.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 2, 18
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/LineChart/LineChart.jsx", "JavaScript React", 0, 31, 0, 0, 0, 1, 5, 37
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/LineChart/constants.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 2, 18
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/PrimChart.jsx", "JavaScript React", 0, 161, 0, 0, 0, 9, 13, 183
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/SecChart.jsx", "JavaScript React", 0, 93, 0, 0, 0, 4, 12, 109
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/TimeFilterButtons/index.tsx", "TypeScript React", 0, 0, 46, 0, 0, 0, 5, 51
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Chart/theme.tsx", "TypeScript React", 0, 0, 92, 0, 0, 3, 5, 100
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/ChartBlock.jsx", "JavaScript React", 0, 64, 0, 0, 0, 0, 12, 76
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Coin.module.css", "CSS", 0, 0, 0, 323, 0, 4, 62, 389
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/CoinInfo.jsx", "JavaScript React", 0, 127, 0, 0, 0, 0, 16, 143
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/CoinInfo/Exchange.jsx", "JavaScript React", 0, 35, 0, 0, 0, 0, 7, 42
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/FavPage.jsx", "JavaScript React", 0, 31, 0, 0, 0, 0, 9, 40
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/MainPage.jsx", "JavaScript React", 0, 34, 0, 0, 0, 0, 8, 42
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Settings/Settings.jsx", "JavaScript React", 0, 13, 0, 0, 0, 0, 2, 15
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Settings/Settings.module.css", "CSS", 0, 0, 0, 24, 0, 0, 2, 26
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/TransactionsWallet/TransactionsWallet.jsx", "JavaScript React", 0, 124, 0, 0, 0, 0, 10, 134
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/TransactionsWallet/TransactionsWallet.module.css", "CSS", 0, 0, 0, 86, 0, 0, 13, 99
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Wallets/SelectWalletBlock.jsx", "JavaScript React", 0, 36, 0, 0, 0, 2, 6, 44
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Wallets/Wallets.jsx", "JavaScript React", 0, 129, 0, 0, 0, 0, 21, 150
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/Wallets/Wallets.module.css", "CSS", 0, 0, 0, 281, 0, 8, 64, 353
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Dashboard/pages/index.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 7
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Login/Login.jsx", "JavaScript React", 0, 66, 0, 0, 0, 0, 6, 72
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Login/Login.module.css", "CSS", 0, 0, 0, 183, 0, 0, 28, 211
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Login/LoginContainer.jsx", "JavaScript React", 0, 15, 0, 0, 0, 0, 5, 20
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/MainScreen/Features/Features.jsx", "JavaScript React", 0, 51, 0, 0, 0, 0, 4, 55
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/MainScreen/Features/Features.module.css", "CSS", 0, 0, 0, 101, 0, 0, 22, 123
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/MainScreen/HeaderTrends/HeaderTrends.jsx", "JavaScript React", 0, 34, 0, 0, 0, 0, 5, 39
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/MainScreen/HeaderTrends/Trends.module.css", "CSS", 0, 0, 0, 145, 0, 0, 28, 173
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/MainScreen/MainScreen.jsx", "JavaScript React", 0, 29, 0, 0, 0, 0, 4, 33
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/MainScreen/MainScreen.module.css", "CSS", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Registration/RegContainer.jsx", "JavaScript React", 0, 25, 0, 0, 0, 0, 7, 32
"/Users/apple/Desktop/prog/projects/coinchecker/src/components/pages/Registration/Registration.jsx", "JavaScript React", 0, 67, 0, 0, 0, 0, 6, 73
"/Users/apple/Desktop/prog/projects/coinchecker/src/hoc/DropDown/DropDown.module.css", "CSS", 0, 0, 0, 13, 0, 0, 1, 14
"/Users/apple/Desktop/prog/projects/coinchecker/src/hoc/DropDown/dropDownMenu.jsx", "JavaScript React", 0, 15, 0, 0, 0, 0, 2, 17
"/Users/apple/Desktop/prog/projects/coinchecker/src/hoc/withAuthRedirect.jsx", "JavaScript React", 0, 18, 0, 0, 0, 0, 6, 24
"/Users/apple/Desktop/prog/projects/coinchecker/src/hoc/withClickOutside.jsx", "JavaScript React", 0, 11, 0, 0, 0, 0, 3, 14
"/Users/apple/Desktop/prog/projects/coinchecker/src/hoc/withRouter.jsx", "JavaScript React", 0, 19, 0, 0, 0, 0, 2, 21
"/Users/apple/Desktop/prog/projects/coinchecker/src/hooks/useFetching.js", "JavaScript", 16, 0, 0, 0, 0, 0, 3, 19
"/Users/apple/Desktop/prog/projects/coinchecker/src/hooks/useOutsideClick.js", "JavaScript", 15, 0, 0, 0, 0, 0, 2, 17
"/Users/apple/Desktop/prog/projects/coinchecker/src/hooks/useSession.js", "JavaScript", 10, 0, 0, 0, 0, 0, 1, 11
"/Users/apple/Desktop/prog/projects/coinchecker/src/hooks/useWindowDimensions/index.tsx", "TypeScript React", 0, 0, 22, 0, 0, 0, 6, 28
"/Users/apple/Desktop/prog/projects/coinchecker/src/index.js", "JavaScript", 14, 0, 0, 0, 0, 1, 4, 19
"/Users/apple/Desktop/prog/projects/coinchecker/src/redux/reducers/app-reducer.js", "JavaScript", 48, 0, 0, 0, 0, 0, 5, 53
"/Users/apple/Desktop/prog/projects/coinchecker/src/redux/reducers/auth-reducer.js", "JavaScript", 114, 0, 0, 0, 0, 2, 12, 128
"/Users/apple/Desktop/prog/projects/coinchecker/src/redux/reducers/dashboard-reducer.js", "JavaScript", 159, 0, 0, 0, 0, 0, 17, 176
"/Users/apple/Desktop/prog/projects/coinchecker/src/redux/reducers/index.js", "JavaScript", 4, 0, 0, 0, 0, 0, 0, 4
"/Users/apple/Desktop/prog/projects/coinchecker/src/redux/reducers/wallets-reducer.js", "JavaScript", 61, 0, 0, 0, 0, 1, 9, 71
"/Users/apple/Desktop/prog/projects/coinchecker/src/redux/redux-store.js", "JavaScript", 14, 0, 0, 0, 0, 0, 4, 18
"/Users/apple/Desktop/prog/projects/coinchecker/src/routes/routeTitle.js", "JavaScript", 22, 0, 0, 0, 0, 0, 3, 25
"/Users/apple/Desktop/prog/projects/coinchecker/src/routes/routes.js", "JavaScript", 10, 0, 0, 0, 0, 11, 3, 24
"/Users/apple/Desktop/prog/projects/coinchecker/src/services/ChangeTitle.jsx", "JavaScript React", 0, 17, 0, 0, 0, 1, 5, 23
"/Users/apple/Desktop/prog/projects/coinchecker/src/services/only3AfterDot.js", "JavaScript", 8, 0, 0, 0, 0, 0, 1, 9
"/Users/apple/Desktop/prog/projects/coinchecker/src/services/title.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 7
"/Users/apple/Desktop/prog/projects/coinchecker/src/styles/index.css", "CSS", 0, 0, 0, 356, 0, 10, 75, 441
"/Users/apple/Desktop/prog/projects/coinchecker/src/styles/theme.tsx", "TypeScript React", 0, 0, 91, 0, 0, 3, 5, 99
"/Users/apple/Desktop/prog/projects/coinchecker/src/utils/ShowImage.jsx", "JavaScript React", 0, 8, 0, 0, 0, 2, 2, 12
"Total", "-", 705, 2309, 251, 3652, 32, 102, 1144, 8195